Year,Geography,Crop,Production (Million Tonnes),notes
2000,Alberta,Barley ,5.27,
2000,Alberta,"Beans, all dry",0.04,
2000,Alberta,Canary seed,0.01,
2000,Alberta,Canola ,2.19,
2000,Alberta,Chick peas,0.02,
2000,Alberta,Corn for grain,0.03,
2000,Alberta,"Corn, fodder ",0.46,
2000,Alberta,Fababeans,0,
2000,Alberta,Flaxseed ,0.02,
2000,Alberta,Lentils,0.01,
2000,Alberta,Mixed grains ,0.06,
2000,Alberta,Mustard seed,0.01,
2000,Alberta,Oats ,0.66,
2000,Alberta,"Peas, dry ",0.62,
2000,Alberta,Fall Rye,0.04,
2000,Alberta,Safflower,0,
2000,Alberta,Sugar beets,0.82,
2000,Alberta,Sunflower seed,0.01,
2000,Alberta,Tame hay ,5.56,
2000,Alberta,Triticale ,0.05,
2000,Alberta,"Wheat, all ",7.12,
2000,Alberta,"Wheat, durum ",0.81,
2000,Alberta,"Wheat, spring ",6.27,
2000,Alberta,"Wheat, winter",0.05,
2000,Alberta,Total - All Crops,23,
2001,Alberta,Barley ,4.75,
2001,Alberta,"Beans, all dry",0.06,
2001,Alberta,Canary seed,0,
2001,Alberta,Canola ,1.66,
2001,Alberta,Chick peas,0.02,
2001,Alberta,Corn for grain,0.01,
2001,Alberta,"Corn, fodder ",0.44,
2001,Alberta,Fababeans,0,
2001,Alberta,Flaxseed ,0.02,
2001,Alberta,Lentils,0.01,
2001,Alberta,Mixed grains ,0.05,
2001,Alberta,Mustard seed,0.01,
2001,Alberta,Oats ,0.59,
2001,Alberta,"Peas, dry ",0.51,
2001,Alberta,Fall Rye,0.05,
2001,Alberta,Safflower,0,
2001,Alberta,Sugar beets,0.54,
2001,Alberta,Sunflower seed,0,
2001,Alberta,Tame hay ,4.31,
2001,Alberta,Triticale ,0.02,
2001,Alberta,"Wheat, all ",5.86,
2001,Alberta,"Wheat, durum ",0.53,
2001,Alberta,"Wheat, spring ",5.27,
2001,Alberta,"Wheat, winter",0.07,
2001,Alberta,Total - All Crops,18.91,
2002,Alberta,Barley ,2.55,
2002,Alberta,"Beans, all dry",0.03,
2002,Alberta,Canary seed,0,
2002,Alberta,Canola ,1.22,
2002,Alberta,Chick peas,0.02,
2002,Alberta,Corn for grain,0.02,
2002,Alberta,"Corn, fodder ",0.36,
2002,Alberta,Fababeans,0,
2002,Alberta,Flaxseed ,0.02,
2002,Alberta,Lentils,0,
2002,Alberta,Mixed grains ,0.02,
2002,Alberta,Mustard seed,0.02,
2002,Alberta,Oats ,0.37,
2002,Alberta,"Peas, dry ",0.22,
2002,Alberta,Fall Rye,0.01,
2002,Alberta,Safflower,0,
2002,Alberta,Sugar beets,0.34,
2002,Alberta,Sunflower seed,0,
2002,Alberta,Tame hay ,3.04,
2002,Alberta,Triticale ,0.01,
2002,Alberta,"Wheat, all ",3.52,
2002,Alberta,"Wheat, durum ",0.9,
